run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260507T094842_243908/20260507-probe-160x15-workload-beam-2nc,3,2,1,0.08851487669186246,1.9542846734963248,1.4827540981387135
20260510T001611_724824/20260510-resume20-cmax-cone-wide-sweep-pilot3-2nc,3,2,1,0.08851487669186246,1.9542846734963248,1.4827540981387135
20260425T172239_328659/20260423-02-2nc,8,1,1,0.08863648591216983,1.6169904669965005,0.703115529155049
20260507T094056_248305/20260507-probe-120x15-bad-final-negative-2nc,3,2,1,0.08866394397193718,1.445932124055914,0.9922896223072692
20260513T005351_396268/20260513-1,6,2,3,0.08869138295754594,0.42929498725406257,-0.021054836221531703
20260510T000958_763041/20260510-resume20-finalcp-only-pilot3-2nc,3,2,1,0.08871080851617537,1.9542846734963248,1.5062659170562624
20260504T172343_574980/20260504-01,5,1,4,0.08873714090432681,1.6169904669965005,0.7272727272727273
20260515T132747_076344/20260515-2,8,4,4,0.088754758506624,-0.3200154221384091,-0.5413878009315225
20260510T001412_921757/20260510-resume20-cmax-cone-sweep-pilot3-2nc,3,2,1,0.08880873965987844,1.9542846734963248,1.518017654300631
20260510T005911_383316/20260510-resume19-large-extra-finalcp-only-2nc,5,2,3,0.08886845884481236,0.40050373680893125,-0.028596980194692152
20260510T000645_077340/20260510-resume20-critical-cmax-cone-pilot3-2nc,3,2,1,0.08890664763557969,1.9542846734963248,1.5297666113847803
20260503T101515_189140/20260502-01,16,3,7,0.08890930553436546,-0.19350057024166234,-0.47629997974649735
20260509T234426_379353/20260509-resume20-stage-time-window-pilot3-2nc,3,2,1,0.08910239411585467,1.9542846734963248,1.5532561890177785
20260513T113332_797038/20260514-1,12,3,2,0.08926388089510628,0.22656270060097547,-0.027870680044593064
20260427T155947_629510/20260427-1,14,2,6,0.08948860904089158,-0.4076966660791116,-0.7623793595532281
20260512T154716_700215/20260512-delayonly,3,1,2,0.0896136918796496,-1.190784364483562,-1.87012987012987
20260511T214441_043577/20260511-full240-small-thick-first-neh-2nc,14,2,7,0.0896144940143951,0.5012766583538559,0.1617001617001617
20260507T140058_545791/20260507-light-gapguard-pw-cross6-w3-2nc,1,1,0,0.08968107004937652,1.4265335235378032,0.7633587786259542
20260503T083404_079955/20260502-01,9,2,2,0.08980663854834102,0.5012766583538559,0.18475750577367206
20260427T221625_993928/20260427-1,6,2,4,0.08999869435241674,0.5012766583538559,0.20780420226275684
20260427T153005_164342/20260427-1,6,1,5,0.09017366215528363,1.0144362075692548,0.4694835680751174
20260515T114601_304352/20260515-2,7,1,6,0.09026860405804998,-1.190784364483562,-1.7129509473137814
