Problem,SolverVendor,Formulation,Instance,n,c,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,196,40,20,1503,1784,0.18696,1600.082
Hybridflowshop,CPLEX,CP,197,80,5,2130,2130,0,23.823
Hybridflowshop,CPLEX,CP,198,80,10,1579,1674,0.06016,1600.06
Hybridflowshop,CPLEX,CP,199,80,15,2175,2341,0.07632,2400.098
Hybridflowshop,CPLEX,CP,200,80,20,2174,2455,0.12925,3200.102
Hybridflowshop,CPLEX,CP,201,120,5,3066,3066,0,7.607
Hybridflowshop,CPLEX,CP,202,120,10,3427,3431,0.00117,2400.12
Hybridflowshop,CPLEX,CP,203,120,15,3088,3374,0.09262,3600.195
Hybridflowshop,CPLEX,CP,204,120,20,3545,3830,0.08039,4800.103
Hybridflowshop,CPLEX,CP,205,160,5,4008,4008,0,0.854
Hybridflowshop,CPLEX,CP,206,160,10,4615,4616,0.00022,3200.081
Hybridflowshop,CPLEX,CP,207,160,15,4021,4426,0.10072,4800.107
Hybridflowshop,CPLEX,CP,208,160,20,4251,4803,0.12985,6400.142
Hybridflowshop,CPLEX,CP,209,200,5,5334,5334,0,9.388
Hybridflowshop,CPLEX,CP,210,200,10,4887,4891,0.00082,4000.087
Hybridflowshop,CPLEX,CP,211,200,15,5218,5272,0.01035,6000.154
Hybridflowshop,CPLEX,CP,212,200,20,5050,5664,0.12158,8000.18
Hybridflowshop,CPLEX,CP,213,240,5,5735,5735,0,5.464
Hybridflowshop,CPLEX,CP,214,240,10,6379,6383,0.00063,4800.13
Hybridflowshop,CPLEX,CP,215,240,15,6305,6305,0,6535.112
Hybridflowshop,CPLEX,CP,216,240,20,5839,6460,0.10635,9600.23
Hybridflowshop,CPLEX,CP,217,40,5,1001,1015,0.01399,400.036
Hybridflowshop,CPLEX,CP,218,40,10,1267,1373,0.08366,800.029
Hybridflowshop,CPLEX,CP,219,40,15,1521,1622,0.0664,1200.043
Hybridflowshop,CPLEX,CP,220,40,20,1326,1580,0.19155,1600.066
Hybridflowshop,CPLEX,CP,221,80,5,1873,1873,0,69.368
Hybridflowshop,CPLEX,CP,222,80,10,2111,2188,0.03648,1600.064
