insName,jobCount,stageCount,best_prefix_obj,first_best_source,last_best_source,strict_last_improvement_source,init_dispatch,tau,post_dispatch1,post_dispatch2
132,120,20,3138.0,post_dispatch2,post_dispatch2,post_dispatch2,3202.0,3168.0,3152.0,3138.0
145,40,5,785.0,post_dispatch2,post_dispatch2,post_dispatch2,816.0,801.0,786.0,785.0
146,40,10,1165.0,tau,post_dispatch2,tau,1225.0,1165.0,1165.0,1165.0
147,40,15,1345.0,post_dispatch1,post_dispatch2,post_dispatch1,1373.0,1347.0,1345.0,1345.0
136,160,20,3836.0,post_dispatch2,post_dispatch2,post_dispatch2,3910.0,3874.0,3853.0,3836.0
142,240,10,5908.0,tau,post_dispatch2,tau,5913.0,5908.0,5908.0,5908.0
143,240,15,6097.0,tau,post_dispatch2,tau,6107.0,6097.0,6097.0,6097.0
149,80,5,2003.0,post_dispatch1,post_dispatch2,post_dispatch1,2005.0,2005.0,2003.0,2003.0
153,120,5,2757.0,tau,post_dispatch2,tau,2760.0,2757.0,2757.0,2757.0
139,200,15,5597.0,tau,post_dispatch2,tau,5599.0,5597.0,5597.0,5597.0
148,40,20,2834.0,post_dispatch1,post_dispatch2,post_dispatch1,2965.0,2835.0,2834.0,2834.0
157,160,5,4391.0,init_dispatch,post_dispatch2,init_dispatch,4391.0,4391.0,4391.0,4391.0
154,120,10,3140.0,post_dispatch2,post_dispatch2,post_dispatch2,3150.0,3145.0,3143.0,3140.0
150,80,10,1823.0,post_dispatch2,post_dispatch2,post_dispatch2,1851.0,1831.0,1831.0,1823.0
158,160,10,4429.0,post_dispatch2,post_dispatch2,post_dispatch2,4433.0,4430.0,4430.0,4429.0
161,200,5,5002.0,post_dispatch1,post_dispatch2,post_dispatch1,5005.0,5003.0,5002.0,5002.0
165,240,5,5930.0,post_dispatch1,post_dispatch2,post_dispatch1,5932.0,5932.0,5930.0,5930.0
151,80,15,2544.0,tau,post_dispatch2,tau,2665.0,2544.0,2544.0,2544.0
163,200,15,5012.0,post_dispatch1,post_dispatch2,post_dispatch1,5015.0,5015.0,5012.0,5012.0
155,120,15,3387.0,post_dispatch1,post_dispatch2,post_dispatch1,3446.0,3388.0,3387.0,3387.0
169,40,5,1019.0,post_dispatch1,post_dispatch2,post_dispatch1,1059.0,1029.0,1019.0,1019.0
162,200,10,5173.0,post_dispatch1,post_dispatch2,post_dispatch1,5179.0,5179.0,5173.0,5173.0
144,240,20,6242.0,post_dispatch2,post_dispatch2,post_dispatch2,6370.0,6370.0,6299.0,6242.0
173,80,5,2058.0,post_dispatch1,post_dispatch2,post_dispatch1,2063.0,2062.0,2058.0,2058.0
170,40,10,1155.0,tau,post_dispatch2,tau,1196.0,1155.0,1155.0,1155.0
171,40,15,1434.0,tau,post_dispatch2,tau,1465.0,1434.0,1434.0,1434.0
166,240,10,6044.0,post_dispatch1,post_dispatch2,post_dispatch1,6046.0,6046.0,6044.0,6044.0
174,80,10,1804.0,post_dispatch1,post_dispatch2,post_dispatch1,1830.0,1823.0,1804.0,1804.0
177,120,5,3137.0,tau,post_dispatch2,tau,3140.0,3137.0,3137.0,3137.0
178,120,10,3094.0,post_dispatch1,post_dispatch2,post_dispatch1,3113.0,3098.0,3094.0,3094.0
181,160,5,4554.0,post_dispatch1,post_dispatch2,post_dispatch1,4555.0,4555.0,4554.0,4554.0
175,80,15,2602.0,post_dispatch1,post_dispatch2,post_dispatch1,2686.0,2608.0,2602.0,2602.0
182,160,10,4299.0,post_dispatch2,post_dispatch2,post_dispatch2,4301.0,4301.0,4300.0,4299.0
167,240,15,6153.0,post_dispatch1,post_dispatch2,post_dispatch1,6167.0,6167.0,6153.0,6153.0
185,200,5,5160.0,post_dispatch1,post_dispatch2,post_dispatch1,5166.0,5166.0,5160.0,5160.0
179,120,15,3339.0,post_dispatch1,post_dispatch2,post_dispatch1,3384.0,3384.0,3339.0,3339.0
186,200,10,5255.0,post_dispatch1,post_dispatch2,post_dispatch1,5256.0,5256.0,5255.0,5255.0
168,240,20,6363.0,post_dispatch2,post_dispatch2,post_dispatch2,6498.0,6482.0,6408.0,6363.0
189,240,5,6217.0,init_dispatch,post_dispatch2,init_dispatch,6217.0,6217.0,6217.0,6217.0
180,120,20,3845.0,post_dispatch1,post_dispatch2,post_dispatch1,3926.0,3847.0,3845.0,3845.0
190,240,10,5935.0,init_dispatch,post_dispatch2,init_dispatch,5935.0,5935.0,5935.0,5935.0
183,160,15,4229.0,post_dispatch2,post_dispatch2,post_dispatch2,4290.0,4278.0,4251.0,4229.0
193,40,5,943.0,post_dispatch2,post_dispatch2,post_dispatch2,999.0,955.0,944.0,943.0
194,40,10,1294.0,tau,post_dispatch2,tau,1392.0,1294.0,1294.0,1294.0
195,40,15,1738.0,post_dispatch1,post_dispatch2,post_dispatch1,1834.0,1745.0,1738.0,1738.0
197,80,5,2130.0,init_dispatch,post_dispatch2,init_dispatch,2130.0,2130.0,2130.0,2130.0
184,160,20,4688.0,post_dispatch2,post_dispatch2,post_dispatch2,4744.0,4744.0,4731.0,4688.0
201,120,5,3066.0,post_dispatch1,post_dispatch2,post_dispatch1,3067.0,3067.0,3066.0,3066.0
196,40,20,1758.0,post_dispatch1,post_dispatch2,post_dispatch1,1871.0,1765.0,1758.0,1758.0
187,200,15,5463.0,tau,post_dispatch2,tau,5479.0,5463.0,5463.0,5463.0
205,160,5,4008.0,post_dispatch1,post_dispatch2,post_dispatch1,4010.0,4009.0,4008.0,4008.0
199,80,15,2354.0,post_dispatch1,post_dispatch2,post_dispatch1,2414.0,2371.0,2354.0,2354.0
202,120,10,3434.0,tau,post_dispatch2,tau,3451.0,3434.0,3434.0,3434.0
209,200,5,5337.0,post_dispatch1,post_dispatch2,post_dispatch1,5341.0,5338.0,5337.0,5337.0
188,200,20,4474.0,post_dispatch1,post_dispatch2,post_dispatch1,4499.0,4499.0,4474.0,4474.0
191,240,15,6077.0,tau,post_dispatch2,tau,6082.0,6077.0,6077.0,6077.0
206,160,10,4616.0,init_dispatch,post_dispatch2,init_dispatch,4616.0,4616.0,4616.0,4616.0
204,120,20,3798.0,post_dispatch2,post_dispatch2,post_dispatch2,3862.0,3808.0,3805.0,3798.0
213,240,5,5738.0,init_dispatch,post_dispatch2,init_dispatch,5738.0,5738.0,5738.0,5738.0
210,200,10,4901.0,tau,post_dispatch2,tau,4912.0,4901.0,4901.0,4901.0
208,160,20,4656.0,post_dispatch1,post_dispatch2,post_dispatch1,4722.0,4717.0,4656.0,4656.0
217,40,5,1024.0,post_dispatch2,post_dispatch2,post_dispatch2,1060.0,1032.0,1026.0,1024.0
219,40,15,1689.0,tau,post_dispatch2,tau,1757.0,1689.0,1689.0,1689.0
221,80,5,1873.0,init_dispatch,post_dispatch2,init_dispatch,1873.0,1873.0,1873.0,1873.0
214,240,10,6385.0,post_dispatch1,post_dispatch2,post_dispatch1,6388.0,6388.0,6385.0,6385.0
211,200,15,5225.0,post_dispatch2,post_dispatch2,post_dispatch2,5236.0,5230.0,5230.0,5225.0
225,120,5,2793.0,post_dispatch1,post_dispatch2,post_dispatch1,2794.0,2794.0,2793.0,2793.0
226,120,10,3105.0,post_dispatch1,post_dispatch2,post_dispatch1,3175.0,3175.0,3105.0,3105.0
212,200,20,5468.0,post_dispatch2,post_dispatch2,post_dispatch2,5485.0,5479.0,5478.0,5468.0
229,160,5,4097.0,post_dispatch1,post_dispatch2,post_dispatch1,4104.0,4098.0,4097.0,4097.0
224,80,20,2671.0,post_dispatch1,post_dispatch2,post_dispatch1,2731.0,2674.0,2671.0,2671.0
233,200,5,5214.0,post_dispatch1,post_dispatch2,post_dispatch1,5220.0,5217.0,5214.0,5214.0
215,240,15,6306.0,post_dispatch2,post_dispatch2,post_dispatch2,6309.0,6309.0,6309.0,6306.0
237,240,5,6408.0,post_dispatch1,post_dispatch2,post_dispatch1,6409.0,6409.0,6408.0,6408.0
238,240,10,12744.0,init_dispatch,post_dispatch2,init_dispatch,12744.0,12744.0,12744.0,12744.0
239,240,15,6382.0,init_dispatch,post_dispatch2,init_dispatch,6382.0,6382.0,6382.0,6382.0
228,120,20,3853.0,post_dispatch2,post_dispatch2,post_dispatch2,3928.0,3909.0,3887.0,3853.0
230,160,10,4281.0,init_dispatch,post_dispatch2,init_dispatch,4281.0,4281.0,4281.0,4281.0
216,240,20,6282.0,post_dispatch2,post_dispatch2,post_dispatch2,6299.0,6292.0,6292.0,6282.0
234,200,10,4884.0,post_dispatch2,post_dispatch2,post_dispatch2,4904.0,4888.0,4888.0,4884.0
236,200,20,5471.0,post_dispatch2,post_dispatch2,post_dispatch2,5566.0,5556.0,5528.0,5471.0
240,240,20,6228.0,post_dispatch2,post_dispatch2,post_dispatch2,6343.0,6339.0,6245.0,6228.0
